# GPU: NVIDIA GeForce RTX 4090
# CC: cc89
# Model: Llama3.2-3B-FP8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,5120,3072,4,4,128.838791,15.626,1,1,1966080,,,,,,,,,,
64,3072,3072,4,4,74.993523,16.108,1,1,1179648,,,,,,,,,,
64,16384,3072,4,4,322.664612,19.966,1,1,6291456,,,,,,,,,,
64,3072,8192,4,4,104.025398,30.966,1,1,3145728,,,,,,,,,,
64,5120,4096,4,4,151.703690,17.695,1,1,2621440,,,,,,,,,,
64,3072,4096,4,4,88.321281,18.236,1,1,1572864,,,,,,,,,,
64,16384,4096,4,4,364.880737,23.542,1,1,8388608,,,,,,,,,,
64,3072,10944,4,4,113.734673,37.837,1,1,4227072,,,,,,,,,,
64,5120,4608,4,4,156.618164,19.282,1,1,2949120,,,,,,,,,,
64,3072,4608,4,4,92.836929,19.517,1,1,1769472,,,,,,,,,,
64,16384,4608,4,4,355.048309,27.218,1,1,9437184,,,,,,,,,,
64,3072,12288,4,4,115.623413,41.789,1,1,4718592,,,,,,,,,,
64,5120,4928,4,4,157.617172,20.490,1,1,3194880,,,,,,,,,,
64,3072,4928,4,4,99.807587,19.415,1,1,1916928,,,,,,,,,,
64,16384,4928,4,4,353.009583,29.276,1,1,10223616,,,,,,,,,,
64,3072,13120,4,4,116.031319,44.462,1,1,5062656,,,,,,,,,,
128,5120,3072,4,4,227.819229,17.674,1,1,1966080,,,,,,,,,,
128,3072,3072,4,4,148.945465,16.220,1,1,1179648,,,,,,,,,,
128,16384,3072,4,4,510.049133,25.262,2,1,6291456,,,,,,,,,,
128,3072,8192,4,4,218.833252,29.440,1,1,3145728,,,,,,,,,,
128,5120,4096,4,4,297.215424,18.063,1,1,2621440,,,,,,,,,,
128,3072,4096,4,4,179.345947,17.961,1,1,1572864,,,,,,,,,,
