# GPU: NVIDIA GeForce RTX 4090
# CC: cc89
# Model: Qwen2.5-14B-FP8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(7168, 5120), (5120, 5120), (27648, 5120), (5120, 13824), (7168, 6848), (5120, 6848), (27648, 6848), (5120, 18432), (7168, 7680), (5120, 7680), (27648, 7680), (5120, 20736), (7168, 8192), (5120, 8192), (27648, 8192), (5120, 22144)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,7168,5120,4,4,222.162659,21.145,1,1,4587520,,,,,,,,,,
64,5120,5120,4,4,167.782898,19.999,1,1,3276800,,,,,,,,,,
64,27648,5120,4,4,169.717255,106.762,1,1,17694720,,,,,,,,,,
64,5120,13824,4,4,192.921066,46.961,1,1,8847360,,,,,,,,,,
64,7168,6848,4,4,232.681381,27.003,1,1,6193152,,,,,,,,,,
64,5120,6848,4,4,166.706741,26.921,1,1,4423680,,,,,,,,,,
64,27648,6848,4,4,175.295822,138.250,1,1,23887872,172.083817,140.831,2,1,23887872,,,,,
64,5120,18432,4,4,197.861099,61.051,1,1,11796480,,,,,,,,,,
64,7168,7680,4,4,249.683594,28.221,1,1,6881280,,,,,,,,,,
64,5120,7680,4,4,179.714798,28.006,1,1,4915200,,,,,,,,,,
64,27648,7680,4,4,173.183334,156.938,1,1,26542080,169.025528,160.799,2,1,26542080,,,,,
64,5120,20736,4,4,199.266724,68.198,1,1,13271040,,,,,,,,,,
64,7168,8192,4,4,251.112976,29.932,1,1,7340032,,,,,,,,,,
64,5120,8192,4,4,180.726654,29.706,1,1,5242880,,,,,,,,,,
64,27648,8192,4,4,177.013596,163.779,1,1,28311552,173.786453,166.820,0,1,28311552,173.541443,167.055,2,1,28311552
64,5120,22144,4,4,182.304977,79.604,1,1,14172160,,,,,,,,,,
128,7168,5120,4,4,373.728699,25.139,1,1,4587520,,,,,,,,,,
128,5120,5120,4,4,324.435669,20.685,1,1,3276800,,,,,,,,,,
128,27648,5120,4,4,322.102875,112.507,1,1,17694720,317.166534,114.258,3,1,17694720,314.964752,115.057,0,1,17694720
128,5120,13824,4,4,373.937408,48.456,1,1,8847360,,,,,,,,,,
128,7168,6848,4,4,373.337860,33.659,1,1,6193152,,,,,,,,,,
128,5120,6848,4,4,335.070343,26.788,1,1,4423680,,,,,,,,,,
128,27648,6848,4,4,335.888275,144.302,1,1,23887872,333.568542,145.306,2,1,23887872,331.373413,146.268,3,1,23887872
128,5120,18432,4,4,383.812592,62.945,1,1,11796480,,,,,,,,,,
128,7168,7680,4,4,377.573669,37.325,1,1,6881280,,,,,,,,,,
128,5120,7680,4,4,338.745697,29.716,1,1,4915200,,,,,,,,,,
128,27648,7680,4,4,331.796722,163.830,1,1,26542080,329.981720,164.731,2,1,26542080,325.789581,166.851,0,1,26542080
128,5120,20736,4,4,383.888916,70.799,1,1,13271040,,,,,,,,,,
128,7168,8192,4,4,405.190826,37.100,1,1,7340032,,,,,,,,,,
128,5120,8192,4,4,342.336273,31.365,1,1,5242880,,,,,,,,,,
128,27648,8192,4,4,338.432312,171.325,0,1,28311552,336.721588,172.196,2,1,28311552,333.116272,174.060,1,1,28311552
128,5120,22144,4,4,334.801819,86.692,1,1,14172160,,,,,,,,,,
256,7168,5120,4,4,505.233459,37.192,2,1,4587520,497.026978,37.806,3,1,4587520,,,,,
256,5120,5120,4,4,368.801361,36.393,3,1,3276800,366.327545,36.639,2,1,3276800,360.384918,37.243,1,1,3276800
256,27648,5120,4,4,488.871948,148.255,0,1,17694720,,,,,,,,,,
256,5120,13824,4,4,403.896851,89.723,3,1,8847360,402.793518,89.969,2,1,8847360,399.024017,90.819,1,1,8847360
256,7168,6848,4,4,520.314453,48.302,2,1,6193152,517.462158,48.568,3,1,6193152,,,,,
256,5120,6848,4,4,377.657928,47.534,3,1,4423680,376.929657,47.626,2,1,4423680,372.521912,48.189,1,1,4423680
256,27648,6848,4,4,500.537964,193.669,0,1,23887872,,,,,,,,,,
256,5120,18432,4,4,410.169678,117.801,3,1,11796480,409.175995,118.087,2,1,11796480,,,,,
256,7168,7680,4,4,529.227478,53.258,2,1,6881280,522.899841,53.903,3,1,6881280,,,,,
256,5120,7680,4,4,385.505859,52.224,3,1,4915200,383.630096,52.479,2,1,4915200,377.149445,53.381,1,1,4915200
