# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,5120,3072,2,2,196.436127,10.249,1,1,1966080,,,,,,,,,,
64,3072,3072,2,2,117.913208,10.244,1,1,1179648,,,,,,,,,,
64,16384,3072,2,2,314.180084,20.506,1,1,6291456,,,,,,,,,,
64,3072,8192,2,2,157.269211,20.482,1,1,3145728,,,,,,,,,,
64,5120,4096,2,2,218.379425,12.292,1,1,2621440,,,,,,,,,,
64,3072,4096,2,2,131.027649,12.292,1,1,1572864,,,,,,,,,,
64,16384,4096,2,2,363.020447,23.662,1,1,8388608,,,,,,,,,,
64,3072,10944,2,2,174.921799,24.602,1,1,4227072,,,,,,,,,,
64,5120,4608,2,2,245.331940,12.309,1,1,2949120,,,,,,,,,,
64,3072,4608,2,2,147.099731,12.318,1,1,1769472,,,,,,,,,,
64,16384,4608,2,2,345.625061,27.960,1,1,9437184,,,,,,,,,,
64,3072,12288,2,2,172.957031,27.937,1,1,4718592,,,,,,,,,,
64,5120,4928,2,2,250.815002,12.876,1,1,3194880,,,,,,,,,,
64,3072,4928,2,2,157.347702,12.315,1,1,1916928,,,,,,,,,,
64,16384,4928,2,2,350.679077,29.471,1,1,10223616,,,,,,,,,,
64,3072,13120,2,2,179.780930,28.696,1,1,5062656,,,,,,,,,,
128,5120,3072,2,2,327.330505,12.301,1,1,1966080,,,,,,,,,,
128,3072,3072,2,2,235.811676,10.245,1,1,1179648,,,,,,,,,,
128,16384,3072,2,2,448.638641,28.720,0,1,6291456,,,,,,,,,,
128,3072,8192,2,2,314.503998,20.484,1,1,3145728,,,,,,,,,,
128,5120,4096,2,2,373.907227,14.358,1,1,2621440,,,,,,,,,,
128,3072,4096,2,2,261.980255,12.296,1,1,1572864,,,,,,,,,,
128,16384,4096,2,2,493.107605,34.840,0,1,8388608,,,,,,,,,,
128,3072,10944,2,2,349.807190,24.604,1,1,4227072,,,,,,,,,,
128,5120,4608,2,2,368.567993,16.387,1,1,2949120,,,,,,,,,,
128,3072,4608,2,2,294.298889,12.314,1,1,1769472,,,,,,,,,,
128,16384,4608,2,2,494.251099,39.104,0,1,9437184,,,,,,,,,,
128,3072,12288,2,2,337.027252,28.673,1,1,4718592,,,,,,,,,,
128,5120,4928,2,2,381.592285,16.927,1,1,3194880,,,,,,,,,,
128,3072,4928,2,2,290.092041,13.360,1,1,1916928,,,,,,,,,,
128,16384,4928,2,2,459.234680,45.009,0,1,10223616,,,,,,,,,,
128,3072,13120,2,2,359.377533,28.711,1,1,5062656,,,,,,,,,,
256,5120,3072,2,2,490.848907,16.406,0,1,1966080,,,,,,,,,,
256,3072,3072,2,2,336.974609,14.339,0,1,1179648,,,,,,,,,,
256,16384,3072,2,2,483.432281,53.306,0,1,6291456,,,,,,,,,,
256,3072,8192,2,2,419.408569,30.722,0,1,3145728,,,,,,,,,,
256,5120,4096,2,2,578.395081,18.564,0,1,2621440,,,,,,,,,,
256,3072,4096,2,2,389.285126,16.549,0,1,1572864,,,,,,,,,,
256,16384,4096,2,2,508.544983,67.565,0,1,8388608,,,,,,,,,,
256,3072,10944,2,2,442.069855,38.938,0,1,4227072,,,,,,,,,,
256,5120,4608,2,2,535.648254,22.551,0,1,2949120,,,,,,,,,,
256,3072,4608,2,2,392.670624,18.458,0,1,1769472,,,,,,,,,,
256,16384,4608,2,2,510.191345,75.765,0,1,9437184,,,,,,,,,,
256,3072,12288,2,2,445.662598,43.368,0,1,4718592,,,,,,,,,,
256,5120,4928,2,2,525.147339,24.600,0,1,3194880,,,,,,,,,,
256,3072,4928,2,2,378.381714,20.485,0,1,1916928,,,,,,,,,,
256,16384,4928,2,2,512.525269,80.658,0,1,10223616,,,,,,,,,,
256,3072,13120,2,2,454.437653,45.410,0,1,5062656,,,,,,,,,,
512,5120,3072,2,2,560.910767,28.714,0,1,1966080,,,,,,,,,,
512,3072,3072,2,2,362.089508,26.689,0,1,1179648,,,,,,,,,,
512,16384,3072,2,2,559.137634,92.177,0,1,6291456,,,,,,,,,,
512,3072,8192,2,2,410.713409,62.744,0,1,3145728,,,,,,,,,,
512,5120,4096,2,2,582.577637,36.862,0,1,2621440,,,,,,,,,,
512,3072,4096,2,2,369.128906,34.906,0,1,1572864,368.807678,34.937,1,1,1572864,,,,,
512,16384,4096,2,2,578.507568,118.788,0,1,8388608,,,,,,,,,,
512,3072,10944,2,2,420.032959,81.962,0,1,4227072,,,,,,,,,,
512,5120,4608,2,2,589.253174,41.000,0,1,2949120,,,,,,,,,,
512,3072,4608,2,2,373.703583,38.789,0,1,1769472,372.159302,38.950,1,1,1769472,,,,,
512,16384,4608,2,2,570.580811,135.492,0,1,9437184,,,,,,,,,,
512,3072,12288,2,2,413.237610,93.541,0,1,4718592,,,,,,,,,,
512,5120,4928,2,2,580.836548,44.482,0,1,3194880,,,,,,,,,,
512,3072,4928,2,2,378.263550,40.982,0,1,1916928,375.207825,41.316,1,1,1916928,,,,,
512,16384,4928,2,2,557.168640,148.390,0,1,10223616,,,,,,,,,,
512,3072,13120,2,2,423.033417,97.562,0,1,5062656,,,,,,,,,,
1024,5120,3072,2,2,581.983154,55.349,0,1,1966080,,,,,,,,,,
1024,3072,3072,2,2,471.851837,40.961,0,1,1179648,,,,,,,,,,
1024,16384,3072,2,2,584.737488,176.283,0,1,6291456,,,,,,,,,,
1024,3072,8192,2,2,544.611633,94.636,0,1,3145728,,,,,,,,,,
1024,5120,4096,2,2,602.345886,71.304,0,1,2621440,,,,,,,,,,
1024,3072,4096,2,2,502.330658,51.300,0,1,1572864,,,,,,,,,,
1024,16384,4096,2,2,597.806030,229.906,0,1,8388608,,,,,,,,,,
1024,3072,10944,2,2,548.693115,125.487,0,1,4227072,,,,,,,,,,
1024,5120,4608,2,2,606.500427,79.668,0,1,2949120,,,,,,,,,,
1024,3072,4608,2,2,505.659393,57.333,0,1,1769472,,,,,,,,,,
1024,16384,4608,2,2,599.144592,258.066,0,1,9437184,,,,,,,,,,
1024,3072,12288,2,2,538.457581,143.576,0,1,4718592,,,,,,,,,,
1024,5120,4928,2,2,600.228638,86.090,0,1,3194880,,,,,,,,,,
1024,3072,4928,2,2,504.477448,61.458,0,1,1916928,,,,,,,,,,
1024,16384,4928,2,2,594.567078,278.112,0,1,10223616,,,,,,,,,,
1024,3072,13120,2,2,545.240967,151.390,0,1,5062656,,,,,,,,,,
2048,5120,3072,2,2,577.323608,111.592,0,1,1966080,,,,,,,,,,
2048,3072,3072,2,2,570.131165,67.800,0,1,1179648,,,,,,,,,,
2048,16384,3072,2,2,597.036255,345.303,0,1,6291456,,,,,,,,,,
2048,3072,8192,2,2,631.566956,163.212,0,1,3145728,,,,,,,,,,
2048,5120,4096,2,2,612.899902,140.152,0,1,2621440,,,,,,,,,,
2048,3072,4096,2,2,598.665100,86.091,0,1,1572864,,,,,,,,,,
2048,16384,4096,2,2,611.129272,449.787,0,1,8388608,,,,,,,,,,
2048,3072,10944,2,2,630.548645,218.393,0,1,4227072,,,,,,,,,,
2048,5120,4608,2,2,613.178711,157.600,0,1,2949120,,,,,,,,,,
2048,3072,4608,2,2,597.181824,97.093,0,1,1769472,,,,,,,,,,
2048,16384,4608,2,2,624.531555,495.151,0,1,9437184,,,,,,,,,,
2048,3072,12288,2,2,619.283813,249.674,0,1,4718592,,,,,,,,,,
2048,5120,4928,2,2,606.825073,170.309,0,1,3194880,,,,,,,,,,
2048,3072,4928,2,2,591.502625,104.832,0,1,1916928,,,,,,,,,,
2048,16384,4928,2,2,621.168091,532.404,0,1,10223616,,,,,,,,,,
2048,3072,13120,2,2,628.090881,262.841,0,1,5062656,,,,,,,,,,
4096,5120,3072,2,2,598.425781,215.313,0,1,1966080,,,,,,,,,,
4096,3072,3072,2,2,580.830750,133.101,0,1,1179648,,,,,,,,,,
4096,16384,3072,2,2,592.859009,695.472,0,1,6291456,,,,,,,,,,
4096,3072,8192,2,2,621.034546,331.960,0,1,3145728,,,,,,,,,,
4096,5120,4096,2,2,620.507874,276.868,0,1,2621440,,,,,,,,,,
4096,3072,4096,2,2,605.705322,170.180,0,1,1572864,,,,,,,,,,
4096,16384,4096,2,2,610.600525,900.353,0,1,8388608,,,,,,,,,,
4096,3072,10944,2,2,609.802612,451.646,0,1,4227072,,,,,,,,,,
4096,5120,4608,2,2,612.410889,315.595,0,1,2949120,,,,,,,,,,
4096,3072,4608,2,2,602.143250,192.586,0,1,1769472,,,,,,,,,,
4096,16384,4608,2,2,612.651855,1009.505,0,1,9437184,,,,,,,,,,
4096,3072,12288,2,2,602.127075,513.575,0,1,4718592,,,,,,,,,,
4096,5120,4928,2,2,601.406128,343.687,0,1,3194880,,,,,,,,,,
4096,3072,4928,2,2,598.109924,207.348,0,1,1916928,,,,,,,,,,
4096,16384,4928,2,2,609.353210,1085.454,0,1,10223616,,,,,,,,,,
4096,3072,13120,2,2,601.907166,548.549,0,1,5062656,,,,,,,,,,
8192,5120,3072,2,2,598.604614,430.498,0,1,1966080,,,,,,,,,,
8192,3072,3072,2,2,599.525269,257.902,0,1,1179648,,,,,,,,,,
8192,16384,3072,2,2,593.488708,1389.468,0,1,6291456,,,,,,,,,,
8192,3072,8192,2,2,624.529297,660.204,0,1,3145728,,,,,,,,,,
8192,5120,4096,2,2,633.992920,541.958,0,1,2621440,,,,,,,,,,
8192,3072,4096,2,2,617.043396,334.107,0,1,1572864,,,,,,,,,,
8192,16384,4096,2,2,612.093689,1796.313,0,1,8388608,,,,,,,,,,
8192,3072,10944,2,2,624.574280,881.928,0,1,4227072,,,,,,,,,,
8192,5120,4608,2,2,610.393799,633.275,0,1,2949120,,,,,,,,,,
8192,3072,4608,2,2,603.497986,384.307,0,1,1769472,,,,,,,,,,
8192,16384,4608,2,2,611.847351,2021.665,0,1,9437184,,,,,,,,,,
8192,3072,12288,2,2,616.380981,1003.398,0,1,4718592,,,,,,,,,,
8192,5120,4928,2,2,609.611023,678.122,0,1,3194880,,,,,,,,,,
8192,3072,4928,2,2,602.083069,411.960,0,1,1916928,,,,,,,,,,
8192,16384,4928,2,2,606.911743,2179.641,0,1,10223616,,,,,,,,,,
8192,3072,13120,2,2,626.008362,1054.860,0,1,5062656,,,,,,,,,,
16384,5120,3072,2,2,600.967529,857.611,0,1,1966080,,,,,,,,,,
16384,3072,3072,2,2,615.135620,502.715,0,1,1179648,,,,,,,,,,
16384,16384,3072,2,2,593.205994,2780.261,0,1,6291456,,,,,,,,,,
16384,3072,8192,2,2,638.721924,1291.068,0,1,3145728,,,,,,,,,,
16384,5120,4096,2,2,618.015381,1111.938,0,1,2621440,,,,,,,,,,
16384,3072,4096,2,2,610.694702,675.160,0,1,1572864,,,,,,,,,,
16384,16384,4096,2,2,612.212280,3591.929,0,1,8388608,,,,,,,,,,
16384,3072,10944,2,2,638.094788,1726.482,0,1,4227072,,,,,,,,,,
16384,5120,4608,2,2,613.318909,1260.509,0,1,2949120,,,,,,,,,,
16384,3072,4608,2,2,608.991028,761.680,0,1,1769472,,,,,,,,,,
16384,16384,4608,2,2,614.703918,4024.541,0,1,9437184,,,,,,,,,,
16384,3072,12288,2,2,631.902344,1957.503,0,1,4718592,,,,,,,,,,
16384,5120,4928,2,2,611.422852,1352.225,0,1,3194880,,,,,,,,,,
16384,3072,4928,2,2,608.953308,814.625,0,1,1916928,,,,,,,,,,
16384,16384,4928,2,2,608.969849,4344.550,0,1,10223616,,,,,,,,,,
16384,3072,13120,2,2,637.910156,2070.358,0,1,5062656,,,,,,,,,,
32768,5120,3072,2,2,599.001770,1720.850,0,1,1966080,,,,,,,,,,
32768,3072,3072,2,2,597.309875,1035.435,0,1,1179648,,,,,,,,,,
32768,16384,3072,2,2,595.286133,5541.091,0,1,6291456,,,,,,,,,,
32768,3072,8192,2,2,641.763245,2569.900,0,1,3145728,,,,,,,,,,
32768,5120,4096,2,2,617.122437,2227.094,0,1,2621440,,,,,,,,,,
32768,3072,4096,2,2,613.275208,1344.639,0,1,1572864,,,,,,,,,,
32768,16384,4096,2,2,613.809082,7165.170,0,1,8388608,,,,,,,,,,
32768,3072,10944,2,2,640.826782,3438.243,0,1,4227072,,,,,,,,,,
32768,5120,4608,2,2,617.084961,2505.633,0,1,2949120,,,,,,,,,,
32768,3072,4608,2,2,612.775818,1513.952,0,1,1769472,,,,,,,,,,
32768,16384,4608,2,2,616.327393,8027.880,0,1,9437184,,,,,,,,,,
32768,3072,12288,2,2,641.806885,3854.588,0,1,4718592,,,,,,,,,,
32768,5120,4928,2,2,614.767456,2689.736,0,1,3194880,,,,,,,,,,
32768,3072,4928,2,2,610.135559,1626.093,0,1,1916928,,,,,,,,,,
32768,16384,4928,2,2,610.673584,8664.857,0,1,10223616,,,,,,,,,,
32768,3072,13120,2,2,640.786133,4122.132,0,1,5062656,,,,,,,,,,
65536,5120,3072,2,2,599.122375,3441.007,0,1,1966080,,,,,,,,,,
65536,3072,3072,2,2,595.026917,2078.814,0,1,1179648,,,,,,,,,,
