GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
RTX4090,Llama3.2-1B,64,6.64e+01,0.80,0.78,0.71,0.63,0.61,0.50,0.65,0.52
RTX4090,Llama3.2-1B,128,8.19e+01,1.03,0.91,0.84,0.74,0.69,0.58,0.70,0.64
RTX4090,Llama3.2-1B,256,1.27e+02,1.45,1.14,1.02,0.97,0.45,0.51,0.52,0.42
RTX4090,Llama3.2-1B,512,2.17e+02,1.35,1.27,1.19,1.07,0.46,0.49,0.50,0.44
RTX4090,Llama3.2-1B,1024,4.07e+02,1.69,1.41,1.30,1.19,0.56,0.59,0.48,0.45
RTX4090,Llama3.2-1B,2048,7.98e+02,1.77,1.46,1.35,1.20,0.55,0.52,0.83,0.41
RTX4090,Llama3.2-1B,4096,1.59e+03,1.97,1.45,1.35,1.23,0.54,0.95,1.01,0.81
RTX4090,Llama3.2-1B,8192,3.21e+03,1.98,1.49,1.36,1.24,0.93,0.95,1.04,0.91
RTX4090,Llama3.2-1B,16384,6.46e+03,2.00,1.49,1.36,1.24,1.19,1.18,1.17,1.03
RTX4090,BitNet-2B,64,6.61e+01,0.84,0.66,0.68,0.67,0.49,0.61,0.59,0.54
RTX4090,BitNet-2B,128,9.20e+01,1.14,0.81,0.90,0.88,0.73,0.80,0.78,0.71
RTX4090,BitNet-2B,256,1.51e+02,1.55,1.14,1.12,1.12,0.95,1.00,1.04,0.90
RTX4090,BitNet-2B,512,2.62e+02,1.62,1.24,1.14,1.08,1.03,1.00,1.00,0.88
RTX4090,BitNet-2B,1024,4.90e+02,1.68,1.26,1.16,1.10,1.05,1.02,1.01,0.89
RTX4090,BitNet-2B,2048,8.93e+02,1.77,1.33,1.21,1.15,1.09,1.04,1.05,0.92
RTX4090,BitNet-2B,4096,1.80e+03,1.91,1.42,1.30,1.22,1.16,1.10,1.12,0.98
RTX4090,BitNet-2B,8192,3.58e+03,1.96,1.45,1.34,1.25,1.19,1.14,1.14,1.00
RTX4090,BitNet-2B,16384,7.26e+03,2.00,1.48,1.35,1.27,1.20,1.16,1.15,1.02
RTX4090,Llama3.2-3B,64,7.80e+01,0.85,0.72,0.70,0.60,0.62,0.57,0.27,0.58
RTX4090,Llama3.2-3B,128,1.17e+02,1.34,0.94,0.88,0.94,0.62,0.48,0.49,0.40
RTX4090,Llama3.2-3B,256,2.03e+02,1.53,1.35,1.24,1.17,0.43,0.48,0.29,0.34
RTX4090,Llama3.2-3B,512,3.58e+02,1.29,1.33,1.15,0.85,0.34,0.31,0.51,0.40
RTX4090,Llama3.2-3B,1024,6.58e+02,1.46,1.34,1.20,1.10,0.28,0.41,0.46,0.63
RTX4090,Llama3.2-3B,2048,1.32e+03,2.01,1.52,1.36,1.26,0.60,1.07,0.63,0.58
RTX4090,Llama3.2-3B,4096,2.64e+03,2.03,1.54,1.39,1.27,0.83,1.17,0.86,0.59
RTX4090,Llama3.2-3B,8192,5.31e+03,2.04,1.54,1.38,1.28,1.23,1.15,1.18,1.03
RTX4090,Llama3.2-3B,16384,1.07e+04,2.05,1.56,1.39,1.29,1.24,1.19,1.20,1.06
RTX4090,Qwen2.5-7B,64,2.33e+02,1.17,0.88,0.80,0.71,0.24,0.44,0.34,0.45
RTX4090,Qwen2.5-7B,128,2.83e+02,1.37,0.93,0.89,0.88,0.29,0.28,0.19,0.34
RTX4090,Qwen2.5-7B,256,4.69e+02,1.14,1.36,1.23,1.16,0.52,0.51,0.17,0.47
RTX4090,Qwen2.5-7B,512,8.31e+02,1.80,1.43,1.29,1.20,0.46,0.43,0.38,0.48
RTX4090,Qwen2.5-7B,1024,1.62e+03,1.93,1.46,1.32,1.24,0.55,0.63,0.42,0.43
RTX4090,Qwen2.5-7B,2048,3.07e+03,1.91,1.43,1.29,1.20,0.81,1.11,0.77,0.98
RTX4090,Qwen2.5-7B,4096,6.12e+03,2.00,1.49,1.36,1.27,1.16,1.07,1.08,1.00
RTX4090,Qwen2.5-7B,8192,1.24e+04,2.04,1.52,1.38,1.29,1.22,1.22,1.20,1.06
RTX4090,Qwen2.5-7B,16384,2.48e+04,2.05,1.52,1.37,1.28,1.21,1.21,1.20,1.04
RTX4090,Qwen2.5-14B,64,2.59e+02,1.36,1.04,0.92,0.87,0.32,0.13,0.29,0.31
RTX4090,Qwen2.5-14B,128,3.22e+02,1.59,0.80,1.07,0.99,0.21,0.31,0.18,0.38
RTX4090,Qwen2.5-14B,256,5.36e+02,1.34,1.31,1.09,1.01,0.21,0.29,0.30,0.27
RTX4090,Qwen2.5-14B,512,1.00e+03,1.76,1.22,1.10,1.06,0.30,0.34,0.32,0.30
RTX4090,Qwen2.5-14B,1024,1.82e+03,1.87,1.39,1.25,1.13,0.70,0.71,0.66,0.79
RTX4090,Qwen2.5-14B,2048,3.57e+03,1.99,1.48,1.32,1.19,1.13,1.10,0.79,1.02
RTX4090,Qwen2.5-14B,4096,7.14e+03,2.03,1.52,1.36,1.19,1.18,1.11,1.16,1.02
RTX4090,Qwen2.5-14B,8192,1.45e+04,2.06,1.54,1.38,1.30,1.17,1.19,1.19,1.05
RTX4090,Qwen2.5-14B,16384,2.95e+04,2.10,1.55,1.40,1.31,1.25,1.21,1.22,1.07
H100,Llama3.2-1B,64,3.80e+01,0.95,0.81,0.78,0.72,0.70,0.71,0.73,0.60
H100,Llama3.2-1B,128,4.27e+01,0.97,0.81,0.80,0.72,0.69,0.70,0.71,0.60
H100,Llama3.2-1B,256,5.12e+01,0.91,0.73,0.69,0.64,0.60,0.60,0.61,0.55
H100,Llama3.2-1B,512,8.43e+01,1.04,0.79,0.79,0.67,0.65,0.68,0.69,0.64
H100,Llama3.2-1B,1024,1.51e+02,1.17,0.95,0.86,0.83,0.75,0.77,0.78,0.71
H100,Llama3.2-1B,2048,2.88e+02,1.24,0.98,0.95,0.83,0.80,0.78,0.80,0.72
