GPU,Model,M,cuBLASLt Latency (μs),2:4,2:6,2:8,2:10,2:12,2:14,2:16,2:∞
A100,Llama3.2-1B,64,8.14e+01,1.16,0.84,0.81,0.70,0.63,0.65,0.71,0.65
A100,Llama3.2-1B,128,1.00e+02,1.40,1.06,1.03,0.89,0.81,0.82,0.90,0.82
A100,Llama3.2-1B,256,1.24e+02,1.37,1.08,0.98,0.88,0.81,0.85,0.87,0.79
A100,Llama3.2-1B,512,1.99e+02,1.52,1.19,1.13,0.97,0.92,0.96,1.01,0.92
A100,Llama3.2-1B,1024,3.83e+02,1.87,1.44,1.35,1.14,1.07,1.13,1.19,1.06
A100,Llama3.2-1B,2048,7.13e+02,1.79,1.34,1.24,1.09,1.01,1.09,1.11,0.96
A100,Llama3.2-1B,4096,1.38e+03,1.88,1.40,1.31,1.10,1.04,1.09,1.14,1.02
A100,Llama3.2-1B,8192,2.84e+03,2.00,1.47,1.40,1.16,1.10,1.15,1.21,1.06
A100,Llama3.2-1B,16384,5.70e+03,1.96,1.46,1.39,1.19,1.10,1.15,1.20,1.07
A100,BitNet-2B,64,8.50e+01,1.27,0.89,0.88,0.78,0.77,0.69,0.72,0.69
A100,BitNet-2B,128,9.53e+01,1.34,0.99,0.96,0.90,0.87,0.79,0.84,0.77
A100,BitNet-2B,256,1.29e+02,1.57,1.14,1.12,1.08,1.02,0.95,1.00,0.90
A100,BitNet-2B,512,2.26e+02,1.74,1.28,1.28,1.22,1.15,1.09,1.14,1.02
A100,BitNet-2B,1024,4.17e+02,1.90,1.39,1.39,1.27,1.24,1.17,1.19,1.08
A100,BitNet-2B,2048,7.46e+02,1.82,1.26,1.27,1.20,1.14,1.05,1.11,0.97
A100,BitNet-2B,4096,1.50e+03,1.98,1.38,1.38,1.33,1.25,1.14,1.20,1.06
A100,BitNet-2B,8192,3.12e+03,2.00,1.41,1.44,1.33,1.23,1.16,1.21,1.07
A100,BitNet-2B,16384,6.25e+03,1.99,1.41,1.38,1.30,1.21,1.14,1.19,1.05
A100,Llama3.2-3B,64,1.11e+02,1.27,0.95,0.89,0.81,0.76,0.68,0.80,0.69
A100,Llama3.2-3B,128,1.35e+02,1.55,1.18,1.07,1.01,0.95,0.87,0.94,0.86
A100,Llama3.2-3B,256,1.79e+02,1.45,1.15,1.05,1.02,0.91,0.83,0.92,0.82
A100,Llama3.2-3B,512,3.02e+02,1.73,1.35,1.24,1.16,1.08,0.98,1.08,0.95
A100,Llama3.2-3B,1024,5.79e+02,2.02,1.57,1.43,1.29,1.25,1.11,1.26,1.11
A100,Llama3.2-3B,2048,1.13e+03,2.03,1.58,1.41,1.28,1.22,1.08,1.24,1.07
A100,Llama3.2-3B,4096,2.28e+03,2.04,1.56,1.40,1.27,1.22,1.05,1.21,1.06
A100,Llama3.2-3B,8192,4.70e+03,2.02,1.55,1.42,1.27,1.24,1.08,1.22,1.06
A100,Llama3.2-3B,16384,9.39e+03,2.03,1.56,1.41,1.28,1.24,1.10,1.22,1.07
A100,Qwen2.5-7B,64,2.38e+02,1.43,1.07,1.00,0.95,0.83,0.84,,
A100,Qwen2.5-7B,128,2.51e+02,1.45,1.12,1.04,0.98,0.87,0.89,,
A100,Qwen2.5-7B,256,4.01e+02,1.82,1.37,1.29,1.22,1.02,1.08,,
A100,Qwen2.5-7B,512,7.49e+02,1.95,1.45,1.35,1.27,1.08,1.14,,
A100,Qwen2.5-7B,1024,1.36e+03,1.85,1.40,1.27,1.18,1.02,1.06,,
A100,Qwen2.5-7B,2048,2.69e+03,2.08,1.43,1.34,1.25,1.06,1.12,,
A100,Qwen2.5-7B,4096,5.39e+03,2.03,1.49,1.38,1.29,1.10,1.16,,
A100,Qwen2.5-7B,8192,1.07e+04,2.06,1.51,1.41,1.31,1.12,1.17,,
A100,Qwen2.5-7B,16384,2.14e+04,2.07,1.52,1.42,1.32,1.12,1.18,,
A100,Qwen2.5-14B,64,2.53e+02,1.53,1.15,1.05,0.99,0.91,0.88,0.90,0.79
A100,Qwen2.5-14B,128,2.74e+02,1.59,1.23,1.12,1.05,0.97,0.93,0.97,0.86
A100,Qwen2.5-14B,256,4.48e+02,1.91,1.46,1.33,1.28,1.11,1.05,1.17,1.03
A100,Qwen2.5-14B,512,8.59e+02,2.16,1.63,1.50,1.39,1.21,1.14,1.28,1.13
A100,Qwen2.5-14B,1024,1.54e+03,1.99,1.47,1.35,1.25,1.10,1.02,1.16,1.02
A100,Qwen2.5-14B,2048,3.13e+03,2.18,1.57,1.45,1.35,1.18,1.08,1.24,1.08
A100,Qwen2.5-14B,4096,6.31e+03,2.12,1.58,1.43,1.33,1.16,1.07,1.23,1.08
A100,Qwen2.5-14B,8192,1.26e+04,2.11,1.55,1.41,1.33,1.16,1.07,1.22,1.06
A100,Qwen2.5-14B,16384,2.51e+04,2.08,1.53,1.41,1.31,1.15,1.06,1.21,1.05
RTX4090,Llama3.2-1B,64,7.71e+01,1.38,1.16,1.12,1.04,0.89,0.99,0.91,0.86
RTX4090,Llama3.2-1B,128,8.53e+01,1.41,1.15,1.12,1.05,0.94,0.94,0.83,0.78
RTX4090,Llama3.2-1B,256,1.08e+02,1.59,1.31,1.18,1.01,0.50,0.79,1.07,0.54
RTX4090,Llama3.2-1B,512,1.57e+02,1.07,1.14,1.05,0.89,0.41,0.50,0.49,0.41
RTX4090,Llama3.2-1B,1024,2.91e+02,1.28,1.30,1.19,0.98,0.44,0.41,0.67,0.43
RTX4090,Llama3.2-1B,2048,5.65e+02,1.67,1.43,1.28,0.91,0.74,0.41,0.77,0.37
RTX4090,Llama3.2-1B,4096,9.22e+02,1.41,1.21,1.08,0.82,0.75,0.69,0.46,0.66
RTX4090,Llama3.2-1B,8192,1.85e+03,1.60,1.23,1.08,0.91,0.81,0.77,0.80,0.70
RTX4090,Llama3.2-1B,16384,3.73e+03,1.60,1.22,1.08,0.90,0.83,0.90,0.92,0.81
RTX4090,BitNet-2B,64,7.16e+01,1.30,0.87,1.11,0.81,1.02,0.84,1.00,0.87
RTX4090,BitNet-2B,128,8.89e+01,1.21,0.94,1.17,0.85,1.06,0.98,1.03,0.90
RTX4090,BitNet-2B,256,1.18e+02,1.45,1.11,1.17,1.07,1.06,0.93,1.00,0.93
RTX4090,BitNet-2B,512,2.01e+02,1.64,1.19,1.20,1.11,1.09,1.02,1.05,0.92
RTX4090,BitNet-2B,1024,3.70e+02,1.91,1.33,1.37,1.27,1.22,1.13,1.17,1.04
RTX4090,BitNet-2B,2048,6.13e+02,1.63,1.11,1.12,1.04,1.01,0.93,0.95,0.84
RTX4090,BitNet-2B,4096,1.10e+03,1.59,1.08,1.10,1.02,0.99,0.90,0.93,0.83
RTX4090,BitNet-2B,8192,2.06e+03,1.56,1.04,1.07,0.99,0.97,0.89,0.91,0.82
RTX4090,BitNet-2B,16384,4.20e+03,1.58,1.07,1.08,1.01,0.99,0.91,0.93,0.83
RTX4090,Llama3.2-3B,64,9.24e+01,1.37,1.24,1.19,1.12,0.45,0.86,0.40,0.93
RTX4090,Llama3.2-3B,128,1.06e+02,1.35,1.24,1.12,1.06,0.36,0.85,0.30,0.59
