GPU,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,64,5.69e+00,122.8%,136.2%,149.5%,155.7%,162.4%,163.5%,184.2%
A100,128,6.39e+00,129.6%,137.3%,146.5%,152.6%,159.4%,160.2%,185.9%
A100,256,6.98e+00,120.5%,137.3%,138.8%,146.6%,152.8%,156.0%,168.7%
A100,512,8.44e+00,120.0%,130.0%,135.1%,131.5%,141.0%,143.9%,153.3%
A100,1024,1.60e+01,113.2%,122.3%,125.0%,127.5%,126.8%,132.4%,139.5%
A100,2048,6.96e+01,105.1%,115.7%,116.6%,117.2%,120.6%,118.6%,105.1%
A100,4096,3.42e+02,97.5%,98.2%,94.5%,96.5%,96.2%,97.2%,95.9%
A100,8192,3.13e+03,89.5%,96.7%,97.9%,87.7%,90.2%,96.7%,92.1%
A100,16384,3.12e+04,99.5%,99.6%,101.0%,101.1%,101.2%,101.8%,101.6%
RTX4090,64,9.61e+00,121.2%,139.4%,148.7%,65.7%,162.8%,76.0%,196.0%
RTX4090,128,8.66e+00,125.2%,142.2%,139.1%,29.0%,47.7%,30.4%,34.8%
RTX4090,256,9.71e+00,117.8%,142.7%,147.6%,24.3%,25.0%,25.5%,36.9%
RTX4090,512,1.04e+01,117.0%,126.3%,133.3%,17.5%,18.0%,18.4%,22.8%
RTX4090,1024,1.31e+01,105.9%,114.0%,110.7%,12.6%,12.9%,13.2%,123.3%
RTX4090,2048,6.15e+01,103.1%,104.7%,105.1%,8.7%,9.0%,12.2%,112.8%
RTX4090,4096,4.47e+02,101.4%,101.9%,102.6%,60.7%,108.1%,88.5%,107.6%
RTX4090,8192,3.43e+03,100.2%,99.3%,99.5%,101.2%,100.6%,101.9%,99.5%
RTX4090,16384,2.91e+04,98.8%,99.7%,99.1%,100.7%,100.9%,100.4%,100.5%
H100,64,5.82e+00,126.7%,142.5%,156.0%,154.2%,160.7%,161.9%,185.0%
H100,128,6.65e+00,137.2%,154.3%,157.7%,159.4%,161.5%,167.4%,191.3%
H100,256,6.84e+00,121.4%,138.8%,145.7%,146.8%,151.0%,154.1%,173.1%
H100,512,7.88e+00,124.4%,135.0%,141.3%,138.9%,145.7%,148.8%,163.3%
H100,1024,1.04e+01,119.1%,128.0%,128.0%,131.1%,134.9%,135.3%,146.7%
H100,2048,3.61e+01,107.2%,111.3%,107.2%,108.2%,109.6%,111.9%,111.3%
H100,4096,1.89e+02,98.5%,96.1%,99.3%,103.5%,105.3%,98.4%,103.3%
H100,8192,1.63e+03,99.0%,99.1%,95.6%,97.5%,99.2%,99.1%,99.4%
H100,16384,1.53e+04,96.6%,96.2%,97.1%,105.7%,105.2%,106.2%,106.2%
B200,64,5.13e+00,110.1%,123.9%,132.2%,139.1%,168.4%,172.0%,165.2%
B200,128,6.22e+00,133.3%,150.0%,160.0%,166.7%,171.4%,185.1%,200.0%
B200,256,6.17e+00,133.3%,150.0%,160.0%,164.8%,171.4%,175.0%,200.0%
B200,512,6.22e+00,133.3%,150.0%,160.0%,166.7%,171.4%,175.0%,200.0%
B200,1024,7.35e+00,118.9%,133.7%,142.7%,148.6%,150.8%,153.9%,178.3%
B200,2048,1.29e+01,118.7%,117.2%,125.0%,128.9%,133.9%,136.7%,139.1%
B200,4096,5.66e+01,93.6%,99.7%,95.4%,98.3%,101.2%,100.0%,100.6%
B200,8192,4.08e+02,97.6%,97.0%,97.6%,93.5%,92.0%,99.2%,101.2%
B200,16384,3.70e+03,94.4%,100.6%,100.4%,99.4%,100.1%,101.1%,100.6%
RTX5080,64,4.11e+00,133.3%,150.0%,160.0%,163.5%,171.4%,117.8%,200.0%
RTX5080,128,4.15e+00,133.3%,150.0%,107.6%,112.1%,115.3%,114.7%,134.5%
RTX5080,256,6.16e+00,133.3%,150.0%,157.6%,164.1%,168.8%,172.3%,200.0%
RTX5080,512,6.19e+00,101.0%,112.5%,120.0%,119.9%,116.9%,103.4%,121.2%
RTX5080,1024,1.64e+01,106.3%,108.6%,115.8%,110.4%,113.6%,116.0%,122.7%
RTX5080,2048,1.00e+02,102.3%,104.0%,103.3%,104.1%,105.2%,106.5%,106.9%
RTX5080,4096,6.32e+02,100.2%,101.0%,101.1%,101.0%,101.3%,101.6%,101.6%
RTX5080,8192,5.02e+03,98.7%,97.0%,99.9%,97.6%,98.5%,96.7%,101.7%
RTX5080,16384,4.75e+04,98.5%,96.1%,98.3%,98.0%,98.6%,97.2%,98.0%
GB10,64,4.15e+00,120.5%,150.0%,144.7%,157.5%,164.4%,163.0%,191.8%
GB10,128,4.76e+00,99.3%,115.0%,94.2%,127.8%,133.3%,110.8%,120.0%
GB10,256,6.21e+00,128.6%,151.8%,152.5%,164.7%,171.4%,170.9%,190.6%
GB10,512,7.84e+00,119.0%,131.0%,142.8%,124.5%,108.5%,146.2%,138.0%
GB10,1024,2.70e+01,109.2%,112.0%,107.8%,114.7%,118.0%,116.7%,118.8%
GB10,2048,1.43e+02,104.3%,108.7%,106.7%,108.7%,109.3%,100.2%,102.9%
GB10,4096,1.23e+03,61.8%,69.5%,55.3%,65.0%,65.5%,65.6%,63.2%
GB10,8192,2.51e+04,98.8%,100.0%,97.8%,77.2%,76.2%,100.5%,100.0%
GB10,16384,2.02e+05,75.8%,100.0%,100.4%,101.3%,100.8%,99.5%,102.0%
