GPU,Model,M,cuSPARSELt 2:4 Latency (μs),Eff_2:6,Eff_2:8,Eff_2:10,Eff_2:12,Eff_2:14,Eff_2:16,Eff_2:∞
A100,Llama3.2-1B,64,9.45e+01,106.9%,111.1%,111.1%,113.2%,116.5%,118.9%,126.7%
A100,Llama3.2-1B,128,1.06e+02,108.8%,114.3%,115.4%,116.8%,120.1%,120.2%,127.9%
A100,Llama3.2-1B,256,1.53e+02,107.3%,111.0%,109.3%,108.4%,114.3%,112.4%,113.8%
A100,Llama3.2-1B,512,2.27e+02,105.3%,108.3%,107.1%,106.5%,108.3%,109.2%,112.8%
A100,Llama3.2-1B,1024,3.92e+02,97.5%,101.7%,99.9%,100.7%,101.2%,102.2%,106.0%
A100,Llama3.2-1B,2048,8.18e+02,98.6%,104.3%,100.9%,100.2%,101.9%,100.2%,104.3%
A100,Llama3.2-1B,4096,1.47e+03,91.3%,90.6%,89.1%,90.6%,89.7%,91.6%,92.6%
A100,Llama3.2-1B,8192,2.99e+03,96.6%,101.4%,93.8%,93.1%,95.8%,95.3%,95.2%
A100,Llama3.2-1B,16384,5.89e+03,92.5%,93.9%,92.5%,91.8%,95.6%,94.0%,93.9%
A100,BitNet-2B,64,9.53e+01,108.6%,114.4%,118.5%,121.0%,121.9%,121.9%,127.4%
A100,BitNet-2B,128,1.11e+02,106.1%,110.2%,113.2%,114.5%,116.6%,116.7%,118.4%
A100,BitNet-2B,256,1.41e+02,103.5%,107.1%,110.3%,107.7%,109.7%,109.8%,111.8%
A100,BitNet-2B,512,2.36e+02,103.5%,104.9%,107.4%,104.9%,105.5%,108.9%,109.1%
A100,BitNet-2B,1024,4.24e+02,102.0%,101.0%,103.5%,99.1%,99.7%,100.7%,99.3%
A100,BitNet-2B,2048,8.34e+02,100.6%,101.6%,100.1%,96.8%,100.6%,100.5%,100.6%
A100,BitNet-2B,4096,1.56e+03,94.6%,94.8%,96.0%,95.7%,95.1%,94.8%,95.5%
A100,BitNet-2B,8192,3.26e+03,95.7%,97.7%,97.7%,95.1%,96.6%,97.5%,98.0%
A100,BitNet-2B,16384,6.62e+03,98.9%,98.0%,98.0%,97.5%,99.1%,100.0%,99.3%
A100,Llama3.2-3B,64,1.28e+02,114.1%,112.2%,117.4%,113.9%,114.7%,114.6%,115.1%
A100,Llama3.2-3B,128,1.40e+02,107.9%,107.0%,111.1%,109.3%,110.3%,110.4%,112.1%
A100,Llama3.2-3B,256,2.14e+02,98.7%,101.3%,102.9%,100.6%,101.3%,104.5%,105.2%
A100,Llama3.2-3B,512,3.31e+02,103.4%,103.1%,103.4%,102.0%,100.3%,104.8%,104.8%
A100,Llama3.2-3B,1024,5.87e+02,99.6%,99.1%,93.8%,97.7%,96.3%,98.3%,95.1%
A100,Llama3.2-3B,2048,1.21e+03,102.2%,96.4%,96.6%,99.6%,95.7%,97.7%,96.1%
A100,Llama3.2-3B,4096,2.53e+03,99.8%,99.0%,98.0%,99.8%,96.8%,98.8%,99.3%
A100,Llama3.2-3B,8192,5.21e+03,102.8%,101.0%,101.1%,101.9%,100.0%,102.1%,101.4%
A100,Llama3.2-3B,16384,1.04e+04,101.2%,102.1%,102.1%,101.7%,99.7%,101.8%,102.1%
A100,Qwen2.5-7B,64,2.36e+02,104.5%,105.4%,104.9%,104.7%,107.7%,108.8%,109.5%
