Name,Address,gmap_id,description,Latitude,Longitude,category,Aggregate Rating,num_of_reviews,price,hours,MISC,City,state,Cuisines,Average Cost
The Mad Greek Restaurant,"The Mad Greek Restaurant, 2419 Volunteer Pkwy, Bristol, TN 37620",0x885a9d4689a6599b:0x198e16ae400e226f,,36.532886,-82.24395799999999,['Greek restaurant'],4.5,1071,$$,"[['Sunday', '11AM–8:30PM'], ['Monday', '11AM–8:30PM'], ['Tuesday', '11AM–8:30PM'], ['Wednesday', '11AM–8:30PM'], ['Thursday', '11AM–8:30PM'], ['Friday', '11AM–8:30PM'], ['Saturday', '11AM–8:30PM']]","{'Service options': ['Outdoor seating', 'Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Great coffee', 'Great dessert', 'Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"", 'Quick bite', 'Small plates', 'Vegetarian options'], 'Dining options': ['Catering', 'Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['College students', 'Groups', 'Tourists']}",Bristol,Tennessee,European Cuisine,36
Tougen Japanese Restaurant,"Tougen Japanese Restaurant, 7414 Central Ave, Toledo, OH 43617",0x883c7da33677f2cf:0x682582acd3cf9cb3,,41.6744271,-83.7206607,['Japanese restaurant'],4.8,196,,"[['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '11AM–2:30PM'], ['Sunday', '1–8PM'], ['Monday', '4:30–9:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Comfort food', 'Healthy options', 'Small plates', 'Vegetarian options'], 'Dining options': ['Lunch', 'Dinner', 'Seating'], 'Amenities': ['High chairs', 'Restroom', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups']}",Toledo,Ohio,Eastern Asian Cuisine,24
Tina's Carryout & Restaurant,"Tina's Carryout & Restaurant, 1600 Walnut St, Cincinnati, OH 45202",0x8841b3fc8baea2df:0x55add1fe983cf59c,,39.112954,-84.514167,['Restaurant'],4.2,230,$,"[['Thursday', '7AM–10PM'], ['Friday', '7AM–10PM'], ['Saturday', '10AM–10PM'], ['Sunday', '10AM–8PM'], ['Monday', '7AM–10PM'], ['Tuesday', '7AM–10PM'], ['Wednesday', '7AM–10PM']]","{'Service options': ['Takeout', 'Delivery', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch'], 'Accessibility': ['Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Coffee', 'Comfort food', 'Quick bite'], 'Atmosphere': ['Casual'], 'Planning': ['Usually a wait']}",Cincinnati,Ohio,American Cuisine,39
Phu Lam Chinese Restaurant,"Phu Lam Chinese Restaurant, 3082 Story Rd, San Jose, CA 95127",0x808fcd5c9dc1c8cf:0xb409512213d48054,Stylish eatery with exotic decor & special-occasion space for classic Cantonese & Mandarin cooking.,37.3546616,-121.818718,"['Vietnamese restaurant', 'Asian restaurant', 'Restaurant']",4.1,134,$$,"[['Saturday', '11AM–8:30PM'], ['Sunday', '11AM–8:30PM'], ['Monday', '11AM–2:30PM'], ['Tuesday', '11AM–2:30PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required'], 'Highlights': ['Great tea selection'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Coffee', 'Comfort food'], 'Dining options': ['Catering', 'Dessert'], 'Amenities': ['Good for kids', 'High chairs'], 'Atmosphere': ['Casual'], 'Crowd': ['Groups'], 'Planning': ['Accepts reservations']}",San Jose,California,African & Middle Eastern Cuisine,25
TRÀM CHIM RESTAURANT,"TRÀM CHIM RESTAURANT, 4350 54th St, San Diego, CA 92115",0x80d9556ca2365c79:0xa6fb1ff4a831b103,,32.7565139,-117.0800543,['Restaurant'],3.8,28,,"[['Tuesday', '10AM–12AM'], ['Wednesday', '10AM–12AM'], ['Thursday', '10AM–12AM'], ['Friday', '10AM–12AM'], ['Saturday', '10AM–12AM'], ['Sunday', '10AM–12AM'], ['Monday', '10AM–12AM']]",{'Amenities': ['Good for kids']},San Diego,California,American Cuisine,18
Ba Lẹ Restaurant,"Ba Lẹ Restaurant, 1052 Dorchester Ave, Boston, MA 02125",0x89e37a53444a842b:0xc0ce3f44b51e832f,"Take-out standby for traditional Vietnamese sandwiches & desserts, plus bubble tea & coffee.",42.3147944,-71.05666939999999,"['Vietnamese restaurant', 'Sandwich shop']",4.6,668,$,"[['Sunday', '6AM–6PM'], ['Monday', '6AM–6PM'], ['Tuesday', '6AM–6PM'], ['Wednesday', '6AM–6PM'], ['Thursday', '6AM–6PM'], ['Friday', '6AM–6PM'], ['Saturday', '6AM–6PM']]","{'Service options': ['Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Fast service', 'Great coffee', 'Great tea selection'], 'Popular for': ['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], 'Offerings': ['Coffee', 'Comfort food', 'Healthy options', 'Quick bite', 'Small plates', 'Vegetarian options'], 'Dining options': ['Catering', 'Dessert'], 'Amenities': ['Good for kids'], 'Atmosphere': ['Casual'], 'Crowd': ['Tourists'], 'Payments': ['NFC mobile payments']}",Boston,Massachusetts,African & Middle Eastern Cuisine,20
Rosewood Family Restaurant,"Rosewood Family Restaurant, 367 W U.S. Hwy 6, Valparaiso, IN 46385",0x8811960bfbbc2749:0xbe0105f023460bd,"Unfussy diner with standard American dishes like meatloaf & sandwiches, plus some Greek items.",41.5502908,-87.1374958,"['Restaurant', 'American restaurant', 'Breakfast restaurant', 'Hamburger restaurant']",4.0,891,$,"[['Thursday', '5:30AM–9PM'], ['Friday', '5:30AM–9PM'], ['Saturday', '5:30AM–9PM'], ['Sunday', '5:30AM–9PM'], ['Monday', '5:30AM–9PM'], ['Tuesday', '5:30AM–9PM'], ['Wednesday', '5:30AM–9PM']]","{'Service options': ['Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], 'Health & safety': ['Mask required', 'Staff wear masks', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['Great coffee', 'Great dessert', 'Great tea selection'], 'Popular for': ['Breakfast', 'Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible parking lot', 'Wheelchair accessible restroom', 'Wheelchair accessible seating'], 'Offerings': ['Beer', 'Cocktails', 'Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"", 'Quick bite', 'Vegetarian options', 'Wine'], 'Dining options': ['Breakfast', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'], 'Amenities': ['Bar onsite', 'Good for kids', 'High chairs', 'Restroom', 'Wi-Fi'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Family-friendly', 'Groups', 'Tourists'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",Valparaiso,Indiana,American Cuisine,18
Ruchi Restaurant,"Ruchi Restaurant, 151 N Michigan Ave, Chicago, IL 60601",0x880e2ca5f84b7721:0xecfe4bd89d7e65d0,"Urban Indian restaurant with a cosmopolitan Asian, Mediterranean & pizza menu.",41.884971,-87.62413749999999,['Indian restaurant'],3.3,148,,"[['Tuesday', '6:30AM–7:30PM'], ['Wednesday', '6:30AM–7:30PM'], ['Thursday', '6:30AM–7:30PM'], ['Friday', '6:30AM–7:30PM'], ['Saturday', '8AM–7PM'], ['Sunday', 'Closed'], ['Monday', '6:30AM–7:30PM']]","{'Service options': ['Delivery', 'Takeout']}",Chicago,Illinois,African & Middle Eastern Cuisine,33
Deleece Restaurant,"Deleece Restaurant, 3747 N Southport Ave, Chicago, IL 60613",0x880fd249c2363043:0x664bb94a44304b79,Casual neighborhood restaurant with an eclectic menu of globally inspired dishes & a popular brunch.,41.9503476,-87.6637355,['Restaurant'],4.0,24,$$,"[['Tuesday', '5:30–10PM'], ['Wednesday', '11AM–2:30PM'], ['Thursday', '11AM–2:30PM'], ['Friday', '11AM–2:30PM'], ['Saturday', '10AM–2:30PM'], ['Sunday', '10AM–2:30PM'], ['Monday', '5:30–10PM']]","{'Service options': ['Delivery', 'Dine-in'], 'Highlights': ['Great dessert'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible seating'], 'Offerings': ['Alcohol', 'Coffee', 'Comfort food'], 'Dining options': ['Lunch', 'Dinner'], 'Atmosphere': ['Casual'], 'Crowd': ['Groups']}",Chicago,Illinois,American Cuisine,14
Chopstick Chinese Restaurant,"Chopstick Chinese Restaurant, 11332 Euclid Ave, Cleveland, OH 44106",0x8830fb898dcc4e1b:0x2950c95dd7377d3f,"Counter-serve eatery dispensing soups, stir-fries & other takeout-style fare in a petite space.",41.5084903,-81.6051413,"['Chinese restaurant', 'Asian restaurant', 'Buffet restaurant', 'Restaurant']",3.9,308,$,"[['Thursday', '11AM–10:30PM'], ['Friday', '11AM–10:30PM'], ['Saturday', '11AM–10:30PM'], ['Sunday', '12–10:30PM'], ['Monday', '11AM–10:30PM'], ['Tuesday', '11AM–10:30PM'], ['Wednesday', '11AM–10:30PM']]","{'Service options': ['Outdoor seating', 'Delivery', 'Takeout'], 'Health & safety': ['Mask required', 'Staff required to disinfect surfaces between visits'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Comfort food', 'Quick bite', 'Vegetarian options'], 'Atmosphere': ['Casual'], 'Crowd': ['College students'], 'Payments': ['NFC mobile payments']}",Cleveland,Ohio,Seafood & Organic Cuisine,22
