,weight
0,2.2943
1,0.4039
2,1.9997
3,0.5546
4,0.4349
5,0.4002
6,1.9874
7,0.4028
8,1.7359
9,1.6492
10,0.7508
11,0.7044
12,0.4027
13,0.4757
14,0.6672
15,0.6045
16,0.41
17,0.6852
18,0.5298
19,0.5035
20,0.3929
21,0.8339
22,0.4125
23,0.7477
24,0.531
25,0.4566
26,0.9899
27,0.4124
28,0.6138
29,1.8501
30,0.8487
31,0.3681
32,0.5698
33,0.3415
34,0.8164
35,1.7427
36,0.5989
37,0.3803
38,0.4217
39,0.7955
40,0.7661
41,0.4144
42,0.7473
43,0.392
44,1.9643
45,0.469
46,2.1518
47,0.6997
48,2.1312
49,0.8476
50,0.4232
51,2.0572
52,0.4122
53,0.6594
54,0.4393
55,0.5269
56,0.661
57,0.7308
58,0.4005
59,0.4119
60,2.1506
61,0.574
62,0.4922
63,2.2519
64,0.85
65,2.1458
66,0.413
67,0.5905
68,0.4497
69,0.4132
70,1.9235
71,0.3682
72,0.4246
73,1.8273
74,0.6198
75,0.5672
76,2.3152
77,1.6991
78,0.519
79,2.0678
80,2.2773
81,0.3775
82,2.2045
83,0.6076
84,0.4986
85,1.4603
86,0.4134
87,0.4142
88,1.6323
89,0.5267
90,1.1603
91,1.7931
92,0.623
93,1.8866
94,0.5384
95,0.6493
96,0.4261
97,1.7168
98,0.5786
99,2.0831
100,1.1716
101,0.4256
102,0.4461
103,0.4115
104,1.9926
105,2.1556
106,0.7759
107,1.394
108,2.0577
109,1.7675
110,0.7149
111,1.9787
112,0.3603
113,0.4198
114,1.9326
115,1.8866
116,0.4104
117,0.5238
118,0.4155
119,0.4307
120,0.3903
121,0.4795
122,0.5826
123,1.8478
124,0.7184
125,0.9829
126,0.4581
127,0.6159
128,2.0815
129,0.5907
130,1.8837
131,2.0497
132,0.5788
133,0.4129
134,1.8434
135,0.405
136,0.6712
137,0.4667
138,0.3704
139,0.7934
140,0.6002
141,0.694
142,1.3938
143,0.7743
144,0.5273
145,0.6106
146,0.4304
147,1.5798
148,0.4336
149,0.6123
150,2.1425
151,0.5299
152,0.4483
153,0.3815
154,0.3539
155,0.5133
156,1.6434
157,0.3662
158,1.9095
159,0.6468
160,0.4479
161,0.8388
162,0.6726
163,0.4083
164,0.3784
165,2.1546
166,0.4342
167,0.5428
168,0.5343
169,0.3478
170,2.1897
171,0.5185
172,2.1552
173,2.2447
174,0.6726
175,1.5738
176,0.4364
177,1.4548
178,1.4765
179,1.9045
180,0.413
181,1.426
182,0.4293
183,0.5091
184,0.5495
185,0.354
186,1.8949
187,2.1435
188,0.4458
189,0.4113
190,2.3444
191,2.2707
192,0.4347
193,2.2694
194,2.0589
195,2.0766
196,2.203
197,2.2803
198,1.926
199,0.6743
200,0.716
201,2.2701
202,0.4392
203,2.0744
204,1.8974
205,0.6289
206,0.7174
207,0.3467
208,1.6062
209,0.7017
210,0.4568
211,1.7801
212,0.4594
213,0.5372
214,1.8355
215,0.3894
216,1.8963
217,0.7425
218,0.6371
219,0.4301
220,0.5293
221,0.6921
222,0.4345
223,1.9618
224,1.4997
225,2.0162
226,1.1807
227,0.7071
228,1.9032
229,1.9449
230,0.4775
231,0.5228
232,1.6154
233,0.3946
234,1.6038
235,2.1371
236,0.6248
237,0.413
238,0.4132
239,0.4175
240,1.7251
241,0.7089
242,0.6642
243,2.1568
244,0.422
245,0.482
246,2.1163
247,0.6472
248,0.532
249,0.6473
250,0.7253
251,0.4024
252,0.4891
253,0.6378
254,0.3749
255,1.4516
256,0.319
257,2.2078
258,0.6444
259,2.1694
260,2.2001
261,0.4117
262,0.5301
263,0.6303
264,0.4144
265,0.5934
266,0.4287
267,0.3629
268,0.6725
269,0.5226
270,1.457
271,1.5806
272,0.6348
273,0.7881
274,1.9347
275,0.4172
276,2.1309
277,0.3601
278,0.8149
279,1.5447
280,0.4972
281,0.639
282,0.4942
283,2.0635
284,2.0902
285,0.6522
286,0.5867
287,2.0482
288,2.2176
289,2.3365
290,0.3685
291,0.6847
292,0.3717
293,2.1696
294,0.3854
295,0.3863
296,0.6606
297,0.6305
298,2.0668
299,0.6677
