method,image_id,clip,dinov2,vlm_score
dsd_diffusion,100177,0.884765625,0.7563124895095825,85
diptych,100177,0.865234375,0.6634937524795532,90
easy_control,100177,0.8798828125,0.8464981317520142,85
dsd_diffusion,100294,0.70849609375,0.7341089248657227,90
diptych,100294,0.7548828125,0.7469687461853027,85
easy_control,100294,0.75537109375,0.7877138257026672,85
dsd_diffusion,100397,0.79345703125,0.8424509763717651,90
diptych,100397,0.8037109375,0.7859757542610168,85
easy_control,100397,0.80322265625,0.7695229649543762,85
dsd_diffusion,101082,0.892578125,0.9075527787208556,90
diptych,101082,0.89892578125,0.9316667914390564,90
easy_control,101082,0.89990234375,0.8902328610420227,85
dsd_diffusion,10249,0.82763671875,0.2822999358177185,90
diptych,10249,0.8984375,0.3270037770271301,90
easy_control,10249,0.865234375,0.3804720044136047,95
dsd_diffusion,12068,0.712890625,0.7626988887786865,85
diptych,12068,0.771484375,0.7940142750740051,90
easy_control,12068,0.77880859375,0.811883270740509,90
dsd_diffusion,13968,0.8232421875,0.746274471282959,90
diptych,13968,0.72802734375,0.5672816038131714,85
easy_control,13968,0.78955078125,0.6254069805145264,85
dsd_diffusion,15099,0.80224609375,0.860396683216095,85
diptych,15099,0.80908203125,0.838890790939331,85
easy_control,15099,0.85107421875,0.8752604722976685,90
dsd_diffusion,15129,0.8583984375,0.9015271067619324,85
diptych,15129,0.806640625,0.8912349939346313,85
easy_control,15129,0.8369140625,0.8955519795417786,90
dsd_diffusion,1590,0.703125,0.8714961409568787,90
diptych,1590,0.73046875,0.7358119487762451,90
easy_control,1590,0.73974609375,0.8030710220336914,90
dsd_diffusion,16781,0.85400390625,0.8775843381881714,85
diptych,16781,0.90576171875,0.9236050844192504,70
easy_control,16781,0.88525390625,0.8843938112258911,85
dsd_diffusion,18087,0.78515625,0.8940461277961731,90
diptych,18087,0.7412109375,0.9019679427146912,85
easy_control,18087,0.8095703125,0.871983528137207,85
dsd_diffusion,20219,0.82275390625,0.505748987197876,85
diptych,20219,0.8017578125,0.5670799016952515,85
easy_control,20219,0.8310546875,0.5621938705444336,85
dsd_diffusion,21129,0.82177734375,0.8399218320846558,85
diptych,21129,0.92138671875,0.8862303495407104,90
easy_control,21129,0.81640625,0.8757750988006592,85
dsd_diffusion,21539,0.68994140625,0.3910271525382995,75
diptych,21539,0.734375,0.3845092058181762,90
easy_control,21539,0.74169921875,0.6207011938095093,85
