task,experiment_type,model_type,dataset_name,input_dim,d_model,n_heads,num_layers,dropout,num_epochs,lr,n_samples,batch_size,target_range,weight_range,adversarial_range,length_range,value_range,noise_prob,seed
evaluate,value_range,vanilla,SubsetSumDecisionDataset,2,64,2,1,0,100,0.0001,5000,500,"(1,10)",na,"(10,30)","(8,8)","(-5,5)",0,0
evaluate,value_range,vanilla,LISDataset,2,64,2,1,0,100,0.0001,5000,500,na,na,"(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,KnapsackDataset,3,64,2,1,0,100,0.0001,5000,500,"(10,20)","(1,10)","(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,FractionalKnapsackDataset,3,64,2,1,0,100,0.0001,5000,500,"(10,20)","(1,10)","(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,MinCoinChangeDataset,2,64,2,1,0,100,0.0001,5000,500,"(10,20)",na,"(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,QuickselectDataset,2,64,2,1,0,100,0.0001,5000,500,na,na,"(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,BalancedPartitionDataset,1,64,2,1,0,1000,0.0001,5000,500,na,na,"(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,BinPackingDataset,2,64,2,1,0,1000,0.0001,5000,500,"(10,30)",na,"(10,30)","(8,8)","(1,10)",0,0
evaluate,value_range,vanilla,ConvexHullDataset,2,64,2,1,0,100,0.0001,5000,500,na,na,"(10,30)","(8,8)","(0,10)",0,0
evaluate,value_range,vanilla,ThreeSumDecisionDataset,2,64,2,1,0,100,0.0001,5000,500,"(-75,75)",na,"(40,60)","(8,8)","(-20,20)",0,0
evaluate,value_range,vanilla,FloydWarshallDataset,3,64,2,1,0,100,0.0001,5000,1,na,na,"(10,20)","(8,8)","(1,15)",0,0
evaluate,value_range,vanilla,SCCDataset,3,64,2,1,0,100,0.0001,5000,1,na,na,na,"(8,8)",0.001,0,0
evaluate,value_range,tropical,SubsetSumDecisionDataset,2,64,2,1,0,100,0.0001,5000,500,"(1,10)",na,"(10,30)","(8,8)","(-5,5)",0,0
evaluate,value_range,tropical,LISDataset,2,64,2,1,0,100,0.0001,5000,500,na,na,"(10,30)","(8,8)","(1,10)",0,0
