INFO - main.py - 2026-03-22 01:07:43,948 - Namespace(dataname='ACS_income_AZ', gpu=0, log_path='./classification_process/discrete_log_42/ACS_income_AZ/train/several_sigma_error_diff_train_260322_01-07-43', mode='train', comment='several_sigma_error_diff_EDM_3.0', use_weight=True, temperature=3.0, weight_criterion='several_timestep_error_diff', method='several_sigma_error_diff', non_param_dro=False, chi2_eta=None, cvar_alpha=None, kappa=None, tau=None, alpha=1, error_reflection='softmax', timestep_weight_criterion='EDM', single_sigma_index=None, selected_several_sigma_indices=None, eval_attribute=None, evaluated_model_path=None, seed=42, baseline_method=None, K=32, device='cuda:0')
INFO - main.py - 2026-03-22 01:07:50,016 - the number of parameters: 1633794
INFO - main.py - 2026-03-22 01:07:51,230 - Epoch 0, training loss: 0.52
INFO - main.py - 2026-03-22 01:07:51,267 - Epoch 0, worst_group_acc: 0.5868
INFO - main.py - 2026-03-22 01:07:51,267 - Update model in epoch 0, worst_group_acc 0.5868 > -1.0000
INFO - main.py - 2026-03-22 01:07:54,347 - Epoch 10, training loss: 0.33
INFO - main.py - 2026-03-22 01:07:54,373 - Epoch 10, worst_group_acc: 0.5555
INFO - main.py - 2026-03-22 01:07:57,203 - Epoch 20, training loss: 0.32
INFO - main.py - 2026-03-22 01:07:57,230 - Epoch 20, worst_group_acc: 0.5988
INFO - main.py - 2026-03-22 01:07:57,230 - Update model in epoch 20, worst_group_acc 0.5988 > 0.5868
INFO - main.py - 2026-03-22 01:08:00,007 - Epoch 30, training loss: 0.30
INFO - main.py - 2026-03-22 01:08:00,046 - Epoch 30, worst_group_acc: 0.6128
INFO - main.py - 2026-03-22 01:08:00,046 - Update model in epoch 30, worst_group_acc 0.6128 > 0.5988
INFO - main.py - 2026-03-22 01:08:02,731 - Epoch 40, training loss: 0.28
INFO - main.py - 2026-03-22 01:08:02,758 - Epoch 40, worst_group_acc: 0.6978
INFO - main.py - 2026-03-22 01:08:02,758 - Update model in epoch 40, worst_group_acc 0.6978 > 0.6128
INFO - main.py - 2026-03-22 01:08:05,211 - Epoch 50, training loss: 0.27
INFO - main.py - 2026-03-22 01:08:05,240 - Epoch 50, worst_group_acc: 0.7365
INFO - main.py - 2026-03-22 01:08:05,240 - Update model in epoch 50, worst_group_acc 0.7365 > 0.6978
INFO - main.py - 2026-03-22 01:08:08,111 - Epoch 60, training loss: 0.24
INFO - main.py - 2026-03-22 01:08:08,137 - Epoch 60, worst_group_acc: 0.6753
INFO - main.py - 2026-03-22 01:08:10,832 - Epoch 70, training loss: 0.24
INFO - main.py - 2026-03-22 01:08:10,862 - Epoch 70, worst_group_acc: 0.7277
INFO - main.py - 2026-03-22 01:08:13,764 - Epoch 80, training loss: 0.22
INFO - main.py - 2026-03-22 01:08:13,790 - Epoch 80, worst_group_acc: 0.6962
INFO - main.py - 2026-03-22 01:08:16,297 - Epoch 90, training loss: 0.22
INFO - main.py - 2026-03-22 01:08:16,336 - Epoch 90, worst_group_acc: 0.7035
INFO - main.py - 2026-03-22 01:08:19,362 - Epoch 100, training loss: 0.19
INFO - main.py - 2026-03-22 01:08:19,400 - Epoch 100, worst_group_acc: 0.6959
INFO - main.py - 2026-03-22 01:08:22,331 - Epoch 110, training loss: 0.19
INFO - main.py - 2026-03-22 01:08:22,368 - Epoch 110, worst_group_acc: 0.7097
INFO - main.py - 2026-03-22 01:08:25,289 - Epoch 120, training loss: 0.18
INFO - main.py - 2026-03-22 01:08:25,315 - Epoch 120, worst_group_acc: 0.7225
INFO - main.py - 2026-03-22 01:08:27,987 - Epoch 130, training loss: 0.17
INFO - main.py - 2026-03-22 01:08:28,013 - Epoch 130, worst_group_acc: 0.6861
INFO - main.py - 2026-03-22 01:08:30,604 - Epoch 140, training loss: 0.17
INFO - main.py - 2026-03-22 01:08:30,630 - Epoch 140, worst_group_acc: 0.7165
INFO - main.py - 2026-03-22 01:08:33,544 - Epoch 150, training loss: 0.17
INFO - main.py - 2026-03-22 01:08:33,572 - Epoch 150, worst_group_acc: 0.6846
INFO - main.py - 2026-03-22 01:08:36,465 - Epoch 160, training loss: 0.15
INFO - main.py - 2026-03-22 01:08:36,497 - Epoch 160, worst_group_acc: 0.7035
INFO - main.py - 2026-03-22 01:08:39,035 - Epoch 170, training loss: 0.19
INFO - main.py - 2026-03-22 01:08:39,062 - Epoch 170, worst_group_acc: 0.7012
INFO - main.py - 2026-03-22 01:08:41,644 - Epoch 180, training loss: 0.16
INFO - main.py - 2026-03-22 01:08:41,671 - Epoch 180, worst_group_acc: 0.7062
INFO - main.py - 2026-03-22 01:08:44,484 - Epoch 190, training loss: 0.17
INFO - main.py - 2026-03-22 01:08:44,510 - Epoch 190, worst_group_acc: 0.6628
INFO - main.py - 2026-03-22 01:08:47,133 - Epoch 200, training loss: 0.13
INFO - main.py - 2026-03-22 01:08:47,160 - Epoch 200, worst_group_acc: 0.7023
INFO - main.py - 2026-03-22 01:08:49,842 - Epoch 210, training loss: 0.13
INFO - main.py - 2026-03-22 01:08:49,867 - Epoch 210, worst_group_acc: 0.7168
INFO - main.py - 2026-03-22 01:08:52,702 - Epoch 220, training loss: 0.15
INFO - main.py - 2026-03-22 01:08:52,728 - Epoch 220, worst_group_acc: 0.6490
INFO - main.py - 2026-03-22 01:08:55,804 - Epoch 230, training loss: 0.12
INFO - main.py - 2026-03-22 01:08:55,831 - Epoch 230, worst_group_acc: 0.6975
INFO - main.py - 2026-03-22 01:08:58,384 - Epoch 240, training loss: 0.14
INFO - main.py - 2026-03-22 01:08:58,410 - Epoch 240, worst_group_acc: 0.6452
INFO - main.py - 2026-03-22 01:09:01,720 - Epoch 250, training loss: 0.12
INFO - main.py - 2026-03-22 01:09:01,746 - Epoch 250, worst_group_acc: 0.6797
INFO - main.py - 2026-03-22 01:09:04,310 - Epoch 260, training loss: 0.14
INFO - main.py - 2026-03-22 01:09:04,343 - Epoch 260, worst_group_acc: 0.6316
INFO - main.py - 2026-03-22 01:09:06,942 - Epoch 270, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:06,968 - Epoch 270, worst_group_acc: 0.6361
INFO - main.py - 2026-03-22 01:09:09,807 - Epoch 280, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:09,833 - Epoch 280, worst_group_acc: 0.7213
INFO - main.py - 2026-03-22 01:09:12,281 - Epoch 290, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:12,308 - Epoch 290, worst_group_acc: 0.6796
INFO - main.py - 2026-03-22 01:09:15,016 - Epoch 300, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:15,042 - Epoch 300, worst_group_acc: 0.6313
INFO - main.py - 2026-03-22 01:09:17,797 - Epoch 310, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:17,824 - Epoch 310, worst_group_acc: 0.7210
INFO - main.py - 2026-03-22 01:09:20,557 - Epoch 320, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:20,583 - Epoch 320, worst_group_acc: 0.6979
INFO - main.py - 2026-03-22 01:09:23,050 - Epoch 330, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:23,076 - Epoch 330, worst_group_acc: 0.5771
INFO - main.py - 2026-03-22 01:09:25,666 - Epoch 340, training loss: 0.25
INFO - main.py - 2026-03-22 01:09:25,693 - Epoch 340, worst_group_acc: 0.7031
INFO - main.py - 2026-03-22 01:09:28,187 - Epoch 350, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:28,214 - Epoch 350, worst_group_acc: 0.6805
INFO - main.py - 2026-03-22 01:09:31,263 - Epoch 360, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:31,319 - Epoch 360, worst_group_acc: 0.6622
INFO - main.py - 2026-03-22 01:09:33,900 - Epoch 370, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:33,934 - Epoch 370, worst_group_acc: 0.6668
INFO - main.py - 2026-03-22 01:09:37,031 - Epoch 380, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:37,058 - Epoch 380, worst_group_acc: 0.6746
INFO - main.py - 2026-03-22 01:09:39,913 - Epoch 390, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:39,946 - Epoch 390, worst_group_acc: 0.6856
INFO - main.py - 2026-03-22 01:09:42,840 - Epoch 400, training loss: 0.10
INFO - main.py - 2026-03-22 01:09:42,867 - Epoch 400, worst_group_acc: 0.6918
INFO - main.py - 2026-03-22 01:09:45,530 - Epoch 410, training loss: 0.09
INFO - main.py - 2026-03-22 01:09:45,565 - Epoch 410, worst_group_acc: 0.7161
INFO - main.py - 2026-03-22 01:09:48,466 - Epoch 420, training loss: 0.09
INFO - main.py - 2026-03-22 01:09:48,493 - Epoch 420, worst_group_acc: 0.6485
INFO - main.py - 2026-03-22 01:09:51,321 - Epoch 430, training loss: 0.11
INFO - main.py - 2026-03-22 01:09:51,348 - Epoch 430, worst_group_acc: 0.6788
INFO - main.py - 2026-03-22 01:09:54,170 - Epoch 440, training loss: 0.09
INFO - main.py - 2026-03-22 01:09:54,195 - Epoch 440, worst_group_acc: 0.6653
INFO - main.py - 2026-03-22 01:09:57,081 - Epoch 450, training loss: 0.09
INFO - main.py - 2026-03-22 01:09:57,107 - Epoch 450, worst_group_acc: 0.6780
INFO - main.py - 2026-03-22 01:09:57,107 - Early stopping in epoch 450
